0 = no limit,0 = بلا حد
Last connection status,حالة آخر اتصال
Leave blank to use the default template.,اتركه فارغًا لاستخدام القالب الافتراضي.
Link,الرابط
Linked to,مرتبطة بـ
Loading…,جارٍ التحميل…
Log,السجل
Login required,يلزم تسجيل الدخول
Manually,يدويًا
Mobile,الجوال
Nextcloud Instance,خادم نكست كلاود
Nextcloud Instances,خوادم نكست كلاود
Nextcloud Settings,إعدادات Nextcloud
Nextcloud instance,خادم نكست كلاود
Nextcloud instance {0} is disabled,خادم نكست كلاود {0} معطّل
Nextcloud settings are not configured yet,لم تُضبط إعدادات Nextcloud بعد
"No enabled rule matches this doctype and company, so its attachments stay on the ERP server.",لا توجد قاعدة مفعّلة تطابق هذا النوع من المستندات وهذه الشركة، لذا تبقى مرفقاته على خادم النظام.
No remote path is recorded for this file: {0},لا يوجد مسار مسجَّل لهذا الملف على الخادم: {0}
No response from the server.,لا يوجد رد من الخادم.
"No storage rule is configured for this doctype, so nothing can move.",لا توجد قاعدة تخزين لهذا النوع من المستندات، لذا لن يُنقل أي ملف.
No storage rule is configured for {0},لا توجد قاعدة تخزين لـ {0}
Not configured,غير مضبوط
Not connected — {0} · checked {1},غير متصل — {0} · فُحص {1}
Not created,لم تُنشأ
Not permitted to attach files to {0} {1},لا تملك صلاحية إرفاق ملفات على {0} {1}
Not permitted to read this file,لا تملك صلاحية الاطلاع على هذا الملف
Not permitted to read {0} {1},لا تملك صلاحية الاطلاع على {0} {1}
Not sent,لم تُرسل
Nothing was created,لم يُنشأ شيء
Only disable this on a test server,لا تُعطّله إلا على خادم اختبار
Organisation,الجهة
Package,الحزمة
Partially cancelled. Not deleted: {0},أُلغيت جزئيًا. لم تُحذف: {0}
Password delivery channel,قناة تسليم كلمة المرور
Path is outside the configured root folder,المسار خارج المجلد الجذر المحدد
Path template,قالب المسار
Phone,هاتف
Policy,السياسة
Private,خاص
Private file not stored,لم يُخزَّن الملف الخاص
Private files are only served to users who may read this document.,الملفات الخاصة تُقدَّم فقط لمن يملك صلاحية قراءة هذا المستند.
Purpose,الغرض
Recipients,المستلمون
Remote path,المسار على الخادم
Root folder,المجلد الجذر
SMS,رسالة نصية
"Save the document first, then attach from Nextcloud.",احفظ المستند أولًا ثم أرفق من Nextcloud.
Selected files,ملفات محددة
Server URL,عنوان الخادم
Service account,حساب الخدمة
Set the server URL and service account first.,أدخل عنوان الخادم وحساب الخدمة أولًا.
Share ID,معرّف المشاركة
Share Packages,حزم المشاركة
"Share a whole folder, or leave blank and list files below",شارك مجلدًا كاملًا، أو اترك الحقل واذكر الملفات أدناه
Share log,سجل المشاركة
Share package expired: {0},انتهت صلاحية حزمة المشاركة: {0}
Size (bytes),الحجم (بايت)
Specify at least one folder or file,حدّد مجلدًا أو ملفًا واحدًا على الأقل
Status,الحالة
Storage is opt-in per doctype. Anything not listed here stays on the server disk.,التخزين اختياري لكل نوع مستند. ما لا يُذكر هنا يبقى على قرص الخادم.
Storage layout,بنية التخزين
Storage rules,قواعد التخزين
Store attachments on Nextcloud,تخزين المرفقات على Nextcloud
Tabadul,المشاركة الآمنة
Test Connection,اختبار الاتصال
That file no longer exists on Nextcloud: {0},هذا الملف لم يعد موجودًا على Nextcloud: {0}
The expiry date is in the past,تاريخ الانتهاء في الماضي
The file no longer exists on the server: {0},الملف لم يعد موجودًا على الخادم: {0}
The path actually written at upload time. Never recomputed: fields of the attached document can change.,المسار الفعلي وقت الرفع. لا يُعاد احتسابه: حقول المستند المرتبط قد تتغيّر.
"The platform records share creation, share deletion, service-account sign-in, and download counts. It provides no record of who downloaded a file or when, and no reliable tracking of share-page views.",تسجّل المنصة إنشاء المشاركة وإلغاءها والدخول إلى حساب الخدمة، وعدد مرات التنزيل. لا توفّر المنصة سجلًا يبيّن مَن نزّل الملف أو متى، ولا تتبّعًا موثوقًا لفتح صفحة المشاركة.
The service account was rejected (check the app password),رُفض حساب الخدمة (تحقّق من كلمة مرور التطبيق)
The share was deleted directly in Nextcloud,حُذفت المشاركة من Nextcloud مباشرة
There are no recipients,لا يوجد مستلمون
This file is not stored on Nextcloud,هذا الملف غير مخزَّن على Nextcloud
"This file is private and could not be stored on Nextcloud, so it has not been saved. It was not written to the server disk. Please retry once the connection is restored.<br><br>{0}",هذا الملف خاص وتعذّر تخزينه على Nextcloud، ولذلك لم يُحفظ. ولم يُكتب على قرص الخادم. أعد المحاولة بعد استعادة الاتصال.<br><br>{0}
This folder is empty.,هذا المجلد فارغ.
This instance was not enabled: the connection failed.<br><br>{0},لم يُفعَّل هذا الخادم: فشل الاتصال.<br><br>{0}
This is the default instance for the site. Choose another default first.,هذا هو الخادم الافتراضي للموقع. اختر خادمًا افتراضيًا آخر أولًا.
This package is cancelled,الحزمة ملغاة
Title,العنوان
Token,الرمز
Unreadable response from the server: {0},رد غير مفهوم من الخادم: {0}
Up one level,مستوى للأعلى
Verify TLS certificate,التحقق من شهادة TLS
WhatsApp,واتساب
When an attachment is deleted,عند حذف المرفق
"When enabled, attachments on the doctypes listed below are stored on Nextcloud instead of the server disk.",عند التفعيل، تُخزَّن مرفقات الأنواع المحدَّدة أدناه على Nextcloud بدل قرص الخادم.
When off: view only. Does not prevent screen capture,عند الإلغاء: عرض فقط. لا يمنع التقاط الشاشة
e.g. /Documents/report.pdf,مثال: /الملفات/تقرير.pdf
https://example.com — no trailing slash,https://example.com — بدون / في النهاية
{0} awaiting manual delivery,{0} بانتظار التسليم اليدوي
{0} emailed,{0} أُرسلت بالبريد
{0} failed,{0} فشلت
{0} storage rule(s) still send attachments to this instance. Repoint them first.,ما زالت {0} من قواعد التخزين توجّه المرفقات إلى هذا الخادم. غيّر وجهتها أولًا.
{0} stored file(s) still live on this instance. Move or remove them first.,ما زال {0} من الملفات المخزّنة موجودًا على هذا الخادم. انقلها أو احذفها أولًا.
